Theme,English,English meaning,Francais
"Management, stratégie et entrepreneuriat",360-degree feedback,"appraisal gathering input from peers, managers, subordinates",évaluation à 360 degrés
"Management, stratégie et entrepreneuriat",absenteeism,habitual unjustified absence from work,absentéisme
"Management, stratégie et entrepreneuriat",abstain,deliberately refrain from voting or acting,s'abstenir
"Management, stratégie et entrepreneuriat",abstention,formal refusal to cast a vote,abstention
"Management, stratégie et entrepreneuriat",accelerator,program speeding up early-stage startup growth,accélérateur
"Management, stratégie et entrepreneuriat",acceptance criteria,conditions a deliverable must satisfy for approval,critères d'acceptation
"Management, stratégie et entrepreneuriat",accountability,obligation to answer for results,"obligation de rendre des comptes, redevabilité"
"Management, stratégie et entrepreneuriat",accountable,required to justify actions and outcomes,"responsable, redevable"
"Management, stratégie et entrepreneuriat",acquire,obtain ownership of another firm or asset,"acquérir, racheter"
"Management, stratégie et entrepreneuriat",acquisition,purchase of one company by another,"acquisition, rachat"
"Management, stratégie et entrepreneuriat",acting director,temporary holder of a senior board post,directeur par intérim
"Management, stratégie et entrepreneuriat",action item,specific task assigned during discussion,"action à mener, point d'action"
"Management, stratégie et entrepreneuriat",action plan,structured sequence of steps toward goals,plan d'action
"Management, stratégie et entrepreneuriat",active listening,attentive engaged hearing with feedback signals,écoute active
"Management, stratégie et entrepreneuriat",adapt,adjust behaviour to new conditions,s'adapter
"Management, stratégie et entrepreneuriat",adaptability,capacity to adjust to changing circumstances,capacité d'adaptation
"Management, stratégie et entrepreneuriat",address an issue,deal directly with a problem,"aborder une question, traiter un problème"
"Management, stratégie et entrepreneuriat",addressable market,total potential demand for an offering,marché adressable
"Management, stratégie et entrepreneuriat",adjourn,close or suspend a meeting,lever la séance
"Management, stratégie et entrepreneuriat",advisory committee,group giving non-binding expert recommendations,comité consultatif
"Management, stratégie et entrepreneuriat",affiliate,company partly owned or linked commercially,société affiliée
"Management, stratégie et entrepreneuriat",agenda,ordered list of items for discussion,ordre du jour
"Management, stratégie et entrepreneuriat",agenda item,single topic scheduled for discussion,point à l'ordre du jour
"Management, stratégie et entrepreneuriat",agile methodology,iterative flexible approach to project delivery,méthode agile
"Management, stratégie et entrepreneuriat",agility,speed and ease in responding to change,agilité
"Management, stratégie et entrepreneuriat",ahead of schedule,completed earlier than planned,en avance sur le calendrier
"Management, stratégie et entrepreneuriat",alignment,shared direction among people or goals,"alignement, mise en cohérence"
"Management, stratégie et entrepreneuriat",allocate,assign resources to a specific purpose,"allouer, affecter"
"Management, stratégie et entrepreneuriat",alternative,different option available for choosing,"solution de rechange, alternative"
"Management, stratégie et entrepreneuriat",angel investor,wealthy individual funding early-stage ventures,"investisseur providentiel, business angel"
"Management, stratégie et entrepreneuriat",announce,make information publicly known,annoncer
"Management, stratégie et entrepreneuriat",announcement,public statement of news or decisions,"annonce, communiqué"
"Management, stratégie et entrepreneuriat",annual general meeting,yearly gathering of shareholders,assemblée générale annuelle
"Management, stratégie et entrepreneuriat",annual report,yearly published account of company performance,rapport annuel
"Management, stratégie et entrepreneuriat",anticipate,foresee and prepare for something,anticiper
"Management, stratégie et entrepreneuriat",any other business,closing agenda point for miscellaneous matters,questions diverses
"Management, stratégie et entrepreneuriat",appoint,officially assign someone to a post,"nommer, désigner"
"Management, stratégie et entrepreneuriat",appointment,"scheduled arrangement, or assignment to a post",nomination
"Management, stratégie et entrepreneuriat",appraisal,formal evaluation of employee performance,entretien d'évaluation
"Management, stratégie et entrepreneuriat",appraise,assess value or job performance formally,"évaluer, apprécier la performance"
"Management, stratégie et entrepreneuriat",approachable,easy to talk to,"accessible, abordable"
